35,"Columbia University|New York University (New York City)|Bryn Mawr College (Bryn Mawr)|Vassar College (Poughkeepsie)|Wellesley College (Wellesley)|Smith College (Northampton)|Fordham University (New York City)|Baruch College (New York City)|Hunter College (New York City)|Mount Holyoke College (South Hadley)|Cornell University (Ithaca)|Amherst College (Amherst)|Radcliffe College (Cambridge)|City College of New York (New York City)|Teachers College, Columbia University (New York City)"
36,"Boston University (Boston)|Northeastern University (Boston)|Tufts University|University of Massachusetts Boston (Boston)|Brandeis University (Waltham)|Georgetown University (Washington, D.C.)|Harvard University (Cambridge)|Brown University (Providence)|Bentley University (Waltham)|Suffolk University (Boston)|University of Notre Dame (Notre Dame)|College of the Holy Cross (Worcester)|Duke University (Durham)|Massachusetts Institute of Technology (Cambridge)|University of Connecticut (Mansfield)"
37,"University of California, Los Angeles (Los Angeles)|Stanford University (Stanford)|University of Southern California (Los Angeles)|Princeton University (Princeton)|University of California, Davis (Davis)|University of California, San Diego (San Diego)|Harvard University (Cambridge)|Massachusetts Institute of Technology (Cambridge)|California Institute of Technology (Pasadena)|Yale University|University of California, Santa Barbara (Santa Barbara)|Columbia University|University of California, Irvine (Irvine)|University of California, Santa Cruz (Santa Cruz)|University of Michigan (Ann Arbor)"
38,Hamilton College (Clinton)|Bucknell University|Colby College (Waterville)|Cornell University (Ithaca)|Union College (Schenectady)|Lehigh University (Bethlehem)|Skidmore College (Saratoga Springs)|Dartmouth College|Williams College (Williamstown)|Wesleyan University (Middletown)|Amherst College (Amherst)|Columbia University|University of Rochester (Rochester)|Carleton College (Northfield)|Washington and Lee University (Lexington city)
39,Bates College (Lewiston)|Bowdoin College (Brunswick)|Colgate University (Hamilton)|Colby–Sawyer College (New London)|Connecticut College (New London)|Wesleyan University (Middletown)|Middlebury College (Middlebury)|Hamilton College (Clinton)|Williams College (Williamstown)|Kenyon College (Gambier)|Tufts University|University of Maine (Orono)|Carleton College (Northfield)|Trinity College (Hartford)|Amherst College (Amherst)
40,"Virginia Tech|University of North Carolina at Chapel Hill (Chapel Hill)|James Madison University (Harrisonburg)|University of Richmond (Richmond)|Virginia Commonwealth University (Richmond)|College of William & Mary|George Mason University (Fairfax)|University of Maryland, College Park (College Park)|University of Michigan (Ann Arbor)|Georgetown University (Washington, D.C.)|Duke University (Durham)|Vanderbilt University (Nashville)|University of Pennsylvania (Philadelphia)|Old Dominion University (Norfolk)|Washington and Lee University (Lexington city)"
41,University of Virginia (Charlottesville)|Washington and Lee University (Lexington city)|Christopher Newport University (Newport News)|Virginia Tech|Old Dominion University (Norfolk)|Virginia Commonwealth University (Richmond)|University of North Carolina at Chapel Hill (Chapel Hill)|University of Mary Washington (Fredericksburg)|Dartmouth College|Johns Hopkins University (Baltimore)|James Madison University (Harrisonburg)|University of Richmond (Richmond)|Wake Forest University (Winston-Salem)|Longwood University (Farmville)|George Mason University (Fairfax)
42,Oberlin College (Oberlin)|Denison University (Granville)|College of Wooster (Wooster)|Grinnell College (Grinnell)|Colby College (Waterville)|Ohio Wesleyan University (Delaware)|Wittenberg University (Springfield)|DePauw University (Greencastle)|Case Western Reserve University (Cleveland)|Davidson College (Davidson)|Sewanee: The University of the South (Sewanee)|Bowdoin College (Brunswick)|Earlham College (Richmond)|Hiram College (Hiram)|Miami University (Oxford)
43,Kenyon College (Gambier)|Wesleyan University (Middletown)|Denison University (Granville)|Grinnell College (Grinnell)|College of Wooster (Wooster)|Macalester College (Saint Paul)|Pomona College (Claremont)|Ohio Wesleyan University (Delaware)|Case Western Reserve University (Cleveland)|Carleton College (Northfield)|Williams College (Williamstown)|Mount Holyoke College (South Hadley)|Swarthmore College (Swarthmore)|Baldwin Wallace University (Berea)|Smith College (Northampton)
44,"University of California, Berkeley (Berkeley)|University of Southern California (Los Angeles)|Stanford University (Stanford)|University of California, San Diego (San Diego)|University of California, Irvine (Irvine)|New York University (New York City)|University of California, Santa Barbara (Santa Barbara)|University of California, Davis (Davis)|California State University, Los Angeles (Los Angeles)|Columbia University|Harvard University (Cambridge)|California Institute of Technology (Pasadena)|Princeton University (Princeton)|San Diego State University (San Diego)|Yale University"
45,"Michigan State University (East Lansing)|Ohio State University (Columbus)|University of Minnesota|University of Illinois at Urbana–Champaign|University of Wisconsin-Madison (Madison)|Stanford University (Stanford)|University of Chicago (Chicago)|Eastern Michigan University (Ypsilanti)|Central Michigan University (Mount Pleasant)|University of California, Berkeley (Berkeley)|University of Virginia (Charlottesville)|University of North Carolina at Chapel Hill (Chapel Hill)|Wayne State University (Detroit)|University of California, Los Angeles (Los Angeles)|University of Texas at Austin (Austin)"
46,Lewis & Clark College (Portland)|Portland State University (Portland)|Willamette University (Salem)|Whitman College (Walla Walla)|University of Portland (Portland)|Oregon Health & Science University (Portland)|Pacific University (Forest Grove)|University of Oregon (Eugene)|Portland Community College (Portland)|Linfield College (McMinnville)|George Fox University (Newberg)|Harvey Mudd College (Claremont)|Swarthmore College (Swarthmore)|Pacific Northwest College of Art (Portland)|Oregon State University (Corvallis)
47,Whitworth University (Spokane)|University of Puget Sound (Tacoma)|Willamette University (Salem)|Walla Walla University (College Place)|Lewis & Clark College (Portland)|Reed College (Portland)|Gonzaga University (Spokane)|Walla Walla Community College (Walla Walla)|Western Washington University (Bellingham)|Pacific Lutheran University (Tacoma)|The Evergreen State College (Olympia)|Linfield College (McMinnville)|Colorado College (Colorado Springs)|Seattle University (Seattle)|Pomona College (Claremont)
48,Lehigh University (Bethlehem)|Bucknell University|Muhlenberg College (Allentown)|Franklin & Marshall College (Lancaster)|Villanova University (Villanova)|Colgate University (Hamilton)|Dickinson College (Carlisle)|Moravian College (Bethlehem)|Gettysburg College (Gettysburg)|DeSales University (Center Valley)|East Stroudsburg University of Pennsylvania|Haverford College (Haverford)|Northampton Community College|Cedar Crest College (Allentown)|Wilkes University (Wilkes-Barre)
49,Mount Holyoke College (South Hadley)|Amherst College (Amherst)|University of Massachusetts Amherst|Wellesley College (Wellesley)|Hampshire College (Amherst)|Bryn Mawr College (Bryn Mawr)|Williams College (Williamstown)|Barnard College (New York City)|Wesleyan University (Middletown)|Tufts University|Vassar College (Poughkeepsie)|Colgate University (Hamilton)|Swarthmore College (Swarthmore)|Scripps College (Claremont)|Oberlin College (Oberlin)
50,Duke University (Durham)|North Carolina State University (Raleigh)|University of Virginia (Charlottesville)|University of North Carolina at Charlotte (Charlotte)|University of North Carolina at Wilmington (Wilmington)|Wake Forest University (Winston-Salem)|University of North Carolina at Greensboro (Greensboro)|University of Michigan (Ann Arbor)|Appalachian State University (Boone)|East Carolina University (Greenville)|Stanford University (Stanford)|Vanderbilt University (Nashville)|Princeton University (Princeton)|North Carolina Central University (Durham)|Cornell University (Ithaca)
51,Colorado State University (Fort Collins)|University of Denver (Denver)|University of Colorado Colorado Springs (Colorado Springs)|University of Colorado Boulder (Boulder)|University of Colorado Denver (Denver)|Colorado School of Mines (Golden)|University of Northern Colorado (Greeley)|Pikes Peak Community College (Colorado Springs)|Colorado Mountain College (Glenwood Springs)|Colorado Mesa University (Grand Junction)|Colorado Christian University (Lakewood)|Carleton College (Northfield)|Regis University (Denver)|Fort Lewis College (Durango)|Adams State University (Alamosa)
52,Scripps College (Claremont)|Claremont McKenna College (Claremont)|Pomona College (Claremont)|Pitzer College (Claremont)|California Institute of Technology (Pasadena)|Occidental College (Los Angeles)|Cooper Union (New York City)|Rose-Hulman Institute of Technology (Terre Haute)|Claremont Graduate University (Claremont)|Sarah Lawrence College (Bronxville)|Swarthmore College (Swarthmore)|Franklin W. Olin College of Engineering (Needham)|Haverford College (Haverford)|Grinnell College (Grinnell)|Williams College (Williamstown)
53,"Clark University (Worcester)|Boston College (Chestnut Hill)|Assumption College (Worcester)|Bucknell University|Providence College (Providence)|Worcester State University (Worcester)|Worcester Polytechnic Institute (Worcester)|Stonehill College (Easton)|Fairfield University (Fairfield)|Tufts University|Northeastern University (Boston)|Boston University (Boston)|Becker College (Worcester)|Georgetown University (Washington, D.C.)|Brown University (Providence)"
54,"Duke University (Durham)|Emory University (Atlanta)|Belmont University (Nashville)|University of Tennessee (Knoxville)|Vanderbilt University Medical Center|Tennessee State University (Nashville)|Rice University (Houston)|Cornell University (Ithaca)|University of Notre Dame (Notre Dame)|University of Virginia (Charlottesville)|Northwestern University (Evanston)|Georgetown University (Washington, D.C.)|Lipscomb University (Nashville)|Washington University in St. Louis (St. Louis)|Middle Tennessee State University (Murfreesboro)"
55,Colgate University (Hamilton)|Wesleyan University (Middletown)|Colby College (Waterville)|Bates College (Lewiston)|Union College (Schenectady)|Bowdoin College (Brunswick)|Connecticut College (New London)|Williams College (Williamstown)|Tufts University|Utica College (Utica)|Hobart and William Smith Colleges (Geneva)|Skidmore College (Saratoga Springs)|Vassar College (Poughkeepsie)|Middlebury College (Middlebury)|Trinity College (Hartford)
56,Dickinson College (Carlisle)|Muhlenberg College (Allentown)|Gettysburg College (Gettysburg)|Bucknell University|Elizabethtown College (Elizabethtown)|Ursinus College (Collegeville)|Millersville University of Pennsylvania|Swarthmore College (Swarthmore)|Haverford College (Haverford)|Washington and Lee University (Lexington city)|Lebanon Valley College|McDaniel College (Westminster)|Colgate University (Hamilton)|Union College (Schenectady)|Albright College (Reading)
57,"Skidmore College (Saratoga Springs)|Colgate University (Hamilton)|Hamilton College (Clinton)|Rensselaer Polytechnic Institute (Troy)|University at Albany, SUNY (Albany)|St. Lawrence University (Canton)|Hobart and William Smith Colleges (Geneva)|Union Graduate College (Schenectady)|Williams College (Williamstown)|Schenectady County Community College (Schenectady)|Clarkson University (Potsdam)|Wesleyan University (Middletown)|The College of Saint Rose (Albany)|Franklin & Marshall College (Lancaster)|Albany Medical College (Albany)"
58,Carleton College (Northfield)|Macalester College (Saint Paul)|Oberlin College (Oberlin)|Kenyon College (Gambier)|Drake University (Des Moines)|Cornell College (Mount Vernon)|Davidson College (Davidson)|University of Iowa (Iowa City)|Pomona College (Claremont)|Coe College (Cedar Rapids)|Harvey Mudd College (Claremont)|Colby College (Waterville)|Lawrence University (Appleton)|Smith College (Northampton)|Central College (Pella)
59,University of Pittsburgh (Pittsburgh)|Cornell University (Ithaca)|Massachusetts Institute of Technology (Cambridge)|University of Pennsylvania (Philadelphia)|Georgia Institute of Technology (Atlanta)|Case Western Reserve University (Cleveland)|Stanford University (Stanford)|Duquesne University (Pittsburgh)|Johns Hopkins University (Baltimore)|Columbia University|New York University (New York City)|California Institute of Technology (Pasadena)|Northwestern University (Evanston)|Pennsylvania State University (University Park)|Harvard University (Cambridge)
60,Colby College (Waterville)|Bowdoin College (Brunswick)|Wesleyan University (Middletown)|Amherst College (Amherst)|Connecticut College (New London)|Hamilton College (Clinton)|Middlebury College (Middlebury)|Williams College (Williamstown)|Tufts University|University of Maine (Orono)|University of Southern Maine (Portland)|Trinity College (Hartford)|University of New England|Southern Maine Community College (South Portland)|Husson University (Bangor)
